post	implicit_class	extra_implicit_class
white history never will forget confederate 1860-1865 ! ! !	incitement	
white men not allowed unemployment in ohio  funneled to black mafia members . women have no basic human rights .	stereotypical	
white nationalism is a religion of peace .	other	
white people wanting to live is racist .	white_grievance	
white protestants are 4 % nycmetro . that is proof immigration displaces .	stereotypical	
white race of humanity must be saved ; we are fighting to save minority white race ;	incitement	
white revolution *	incitement	
white supremacy a myth black privilege is real ! via	white_grievance	
whites founded the country . god you're not very smart . trying to be cool and pander to the anti-white racists that hate your skin color .	white_grievance	
whn they hate n kill shia nt mentioned in quran de wl nevr let live any jew mentioned as despisd in quran hadish	stereotypical	
why are we always told we should be more tolerant of islam ? why dont we ever hear that islam needs t	white_grievance	
why do we care what jews want or don't want ? they are actively at war with the white race and always have been .	stereotypical	
wow ... only in jew run america could something like this happen . what an outrage !	stereotypical	
yes . a racist of the highest kind ; a screwball feminist ; a windbag who was able to suck in female followers . yes .	white_grievance	
yes it is ! white pride !	incitement	
yes you are fine in a white majority country . how is mexico doing these days ? you people come here because you couldn't build it .	inferiority	
you evil white ( not-white ) supremacist ! ! honestly i expect the next left attack on poc that support to be that you imagine you are .	irony	
you know they're fundamentally nuts when muslims hate other muslims enough to kill them	stereotypical	
you need the white boogeyman to justify your failures	white_grievance	
you sound violent and anti-white .	white_grievance	
you think white children shld have thr countries colonized and destroyed ... bc white colonialism happened ?	white_grievance	
"  "" : jews outraged over diversity is white genocide banner in australia | more : "" "" ; """	white_grievance	
"  "" white supremacists "" "" aka those who refused to buy your misogynistic failed rap album ? or jews ? differentiate dindu . differentiate . """	stereotypical	
"  "" you need a bombed out white civilization for black run america to work . "" "" """	incitement	
" . apparently you can conquer any white nation just by screaming  "" racist . "" "" whites will even offer you their children """	irony	
" 15 of the 19 hijackers were saudi arabia.saudi arabia is our  "" ally "" "" """	stereotypical	
" 2 million  "" natives "" "" dont get dibs on all of north america . white settlers built what refugees are flocking to . """	white_grievance	
" : black supremacist arrested for threatening to  "" kill all white people in the town "" "" """	white_grievance	
" anyone white that isn't anti - white & against #white genocide is  "" too racist . "" "" """	white_grievance	
" are jewish groups going to demand massive non-jewish immigration into israel ? or is  "" diversity "" "" only for the west ? """	white_grievance	
" court finds shooter floyd corkins used website to determine targets . labeling  "" hate groups "" "" must end ! #tcot """	incitement	
" german muslim : islam is coming to take over germany  "" your daughters will wear hijab """	incitement	
" how #jews feel about #whitepeople -  "" the white race is the cancer of human history . "" "" - jewess susan sontag #hate #israel #racism """	white_grievance	
" i'm not antisemitic  i support palestinians . faux polish jews that immigrated to palestine aren't semites  you know  the jew  "" refugees "" "" . """	incitement	
" jew michael skolnik is  "" jewish "" "" when it suits him and "" "" white "" "" when he wants to hate on whites """	stereotypical	
" rt :  "" white privilege conference "" "" says resisting jihad is racist  bashes robert spencer and pamela gell """	irony	
" rt of course  jew-media to poison white brains : [ bad ]  "" neo-nazis "" "" "" "" skirmished "" "" w / "" "" well-organized "" "" "" "" counter "" "" - protesters """	stereotypical	
" rt three blacks kill a white man  "" for the fun of it . "" "" """	stereotypical	
" rt uk video :  "" you're a jew  not a muslim ... jew  jew  jew run ! "" "" #islam #islamophobia #tcot #antimuslim """	incitement	
" so basically your ok with no firing blacks and affirmative action but firing whites because  "" muh free market "" "" . ok . """	white_grievance	
" the  "" anti-racist "" "" saint died  mandela's life work : mass murders  white genocide | watch video : """	white_grievance	
" the evil reading koran (  "" 26 different korans "" "" ) is so dangerous that muslims might find out jesus is god and not jihad for momo """	stereotypical	
" to grant amnesty is to pardon #immigration lawbreakers and reward them ...  "" #noamnesty """	white_grievance	
" trump's  "" make america white christian again "" "" here is the proof #kkk """	incitement	
" white apathy toward  "" white genocide "" "" is pathetic & a great betrayal > it is real so why no government intervention ? """	white_grievance	
#arkansas always bn infested w / incestuous  psychotic  white supremacist trash & still supports #hillbilly2	inferiority	
#india dear pm pl deport all 40k illegal #rohingya muslims w / o fail . #india is not an orphanage.we don't want terrorists	white_grievance	
#massive migration from africa to europe is underway ; europe may not survive ; sorry  what to do ?	white_grievance	
#nohateappstate - ( ( ( who ) ) ) told him white people are evil ? - black guy talks about racism	white_grievance	
#projectsiege continues unabated . we will not rest until alt-right ideas are represented on college campuses nationwide . #sdsu	incitement	
#whitegenocide is public policy in white countries  flood them  force integrate them  blend them into mixed race : see #kalergi plan #altright	white_grievance	
- poland is looking to protect its people.muslims bring with them the baggage of islam . this poses a potential threat .	white_grievance	
. can a jew join ? i am white  green eyes and like your white trash blond south american girls .	inferiority	
. communist jews created a mind virus that's infecting and killing off the white race	stereotypical	
1 ) so when white peoples and cultures are being eradicated it's not your problem  but when non-whites remove white people  then it's whining	white_grievance	
70 million us white christian racist superiors are in 21st century against racial mix.please be fai	inferiority	
: > implying black people in the modern day are slaves . > implying white people	inferiority	
: again how islam with all the hate that has can bring peace ? h	stereotypical	
: alright ted kaczynski  mail bomb your way to a white ethnostate . while o	incitement	
: america is ours - we created it . usa was founded by white nationalists . the rest of you are just	incitement	
: bloom thanks g * d that america is not an ethnostate then ponders various fake forms of unity that leave jew	stereotypical	
: race war in manhattan : black power militants storm restaurants and harass white patrons	white_grievance	
: russian tv report on france's white genocide by mass immigration : white people are disappearing from all over france ... ...	white_grievance	
: when you kill your own body to kill others  we call it suicide . you call it jihad .	stereotypical	
: whites of south africa prepare for evacuation as genocide looms	white_grievance	
a racist any white man who is winning an argument with a #liberal  a #conservative  a #libertarian  or a #jew .	white_grievance	
a reminder that jews are not white ! via	incitement	
a wall is racist ? #thatmakesnosense	white_grievance	
aint that america : obama shoes : in this farce of a country  illegal aliens are showing up on the mexican bord ...	inferiority	
all black people are racist .	white_grievance	
all nationalists - white  black  asian  or latin - are against globalization & foreign interference . they will fight jews .	stereotypical	
also put muslim brotherhood in the white house and every other branch of gvmnt he could ! americas biggest race baiter  that's his legacy	incitement	
america is an extension of europe  according to the first european settlers and founding fathers .	incitement	
america is white america . there is no america without whites dominant .	incitement	
america will never be a pure white country but that	incitement	
america you can't coexist with people who want to kill you ! #rt #stopislam #stopjihad #nosharia #nopc	stereotypical	
and wealthy whites will have to go with us or risk having the marxists confiscate all of their wealth to give to -	white_grievance	
and yet a white man gets 15 years for putting bacon on a mosque for step ! thank god for white privilege	irony	
another day  another black male kills a white cop #whitelivesmatter	stereotypical	
anti-racist is just code for anti white . no one says that africa needs to have a blended humanity	white_grievance	
anti-white jew david sirota blocked me when i asked him why israel wasn't taking in any refugees lol	white_grievance	
are you serious ? even whites know this.they only give aid to steal more	white_grievance	
at least the fires still lit there's hope . i wish us white had our own homeland achieved peacefully but achieved at all is a +	incitement	
at what point did whites start all this self-hatred ? no other race self-destructs this way .	white_grievance	
atlanta's traffic problems are due to white people escaping blacks ( crime )	stereotypical	
aye  well  i like the nineties . people were happy and confident and the diversity hadn't started to bite .	irony	
bascially  your policy is to replace your own people with foreigners because you are self hating leftists	white_grievance	
because prior to that  almost everybody in white societies was white .	white_grievance	
being white in philly : pennsylvania h / t sbpdl the black mayor of philadelphia is trying to the human rights c ...	white_grievance	
black supremacist arrested for threatening to kill all white people in the town | read more : via	white_grievance	
blacks  13 % of us population  commit 59 % of murders . #baltimore #ferguson #freddiegray #baltimoreuprising	stereotypical	
blame the white man . gets tiresome .	white_grievance	
bradford : 80 % of children sexually exploided are white . rape jihad	incitement	
but the reality is that many of them want the white man's civilization without the white man in it .	white_grievance	
by not taking a bold and open stand for white america we ensure ourselves the chains the jews make 4 us !	white_grievance	
channel everyone - white  black  asian  latin - against jews - through nationalist winds in each country - regardless of race .	incitement	
citizens to kill jews for no reason . other than they believe everything belongs to them and if your not a muslim you have to die .	stereotypical	
definitely not on our side ! better luck next presidential election white america !	white_grievance	
did he import white mechanics to keep it running ?	irony	
diversity always means fewer ( or no ) whites	white_grievance	
diversity is only imposed on white nations . diversity : slowly and legally eliminating white people .	white_grievance	
does not make you a racist . makes you a realist .	white_grievance	
eating beef is neither a essential part of islam nor is it a marker of secularism . the only idea of making it so is to humiliate the hindus	stereotypical	
ending slavery - whites ; democracy - whites ; women's rights - whites ; innovations in science from electricity to space travel - whites ...	incitement	
european culture went into decline when people killed off paganism & erected goyim synagogues with crosses	incitement	
ever notice how jews are only ' white ' when it serves their agenda ?	stereotypical	
following the jcc arrest  can we be smarter about anti-semitism ? via	incitement	
four adopted children  not a single one white . what kind of self-loathing and / or white savior complex causes that ?	inferiority	
god grant that in all the land  there were more white people than black and colored .	incitement	
good video on internet activism and white character #whitegenocide #freespeech #northwestfront #deportallmuslims	white_grievance	
he never will . he hates white people and our country even more .	white_grievance	
he's still a zionist shill that will throw people in prison for anti-semitism just like the rest of europe	stereotypical	
he's vocally anti-white  he's not white  he advocates miscegenation and he's so much as admitted to raping women	inferiority	
hey guys  nz european here . you have my support bringing america back to white america  the way it should've been .	incitement	
hey hillary why do you take millions in donations from arab nations who beat rape and kill innocent women and young girls ?	stereotypical	
hey white people . if you don't hate yourself  don't want to be killed or honor murdered white people  you are a bigot and hater !	white_grievance	
hope you're not white . cause that would make you a race traitor .	white_grievance	
how any white liberals coming to #ferguson and #shawshooting this weekend will get robbed ? place your bets !	stereotypical	
hunter  you do know i'm a jew . i hope you mean to diss liberal jews  not us hardline rightwinger jews .	other	
i assume it's about how the africans freed themselves from evil whites owners . with . no . help . at . all .	irony	
i don't think there are enough white players in the nba ! they must be racist ! al sharpton please call an emergency meeting !	irony	
i have even less sympathy for refugees now	incitement	
i'm 99.6 % white  so i want 4 % of all those sweet white gibs . be my ally sarah  accept your privilege and help me beat the system ! #resist	white_grievance	
i'm a nationalist  and white . ergo  white nationalist . so long as identity politics exist  we must play the game  or lose by not showing up .	incitement	
i'm saying stop non white immigration . white people can come here all they want . and good man  i love that flag .	incitement	
i'm white and jewish  can i join your party ? oh that's right neither of those are qualifiers to be american . #maga brother	irony	
identity evropa is and identitarian organization we must come together and care for each other in the white community . the liberals have single handedly declared that white americans are open game for brown illegal aliens .	white_grievance	
if immigration leads to nonwhite rule  they may kill off white leaders  and amnesty would make this more likely .	white_grievance	
if we dont let muslims into america  theyll kill us & why would we want ppl who say they'll kill us to come here ?	stereotypical	
immigration act of 1924 is original sin of white america according to jews ; therefore america must import all immigrants forever	incitement	
in 1930s  hitler began blaming jews for financial woes of struggling germans . many had $ $ / businesses . built a campaign of hate  lies  er anger against evil juden . i got into this thread bc op1 is spreading hate  lies  anger against evil white race.very hitler-esque !	white_grievance	
in white power by rockwell  chapter called : nightmare  is coming true ! all out black on white war ! prepare now !	white_grievance	
inb 4 its ok to be white as long as youre also fine with anti white policies that displace whites	white_grievance	
indians are pre colombians . white people founded and built usa .	inferiority	
instead of washing muslims feet  apologizing for islam . francis should watch this video .	irony	
is zuma talking about seizing white land or not ? are you denying it ?	white_grievance	
it seems true  but they had plenty of people willing to suicide bomb an	stereotypical	
jew says he's gonna kill judge	incitement	
jews and mudslims united against white civilization	white_grievance	
jews don't want to live close to the non-white invaders they welcome #expeltheinvaders #withjewswelose	stereotypical	
jews rejoicing at the prospect of the end of the white race	white_grievance	
jews say whites should love their own demise . for whites to love white life is to hate their own demise . that is hate	white_grievance	
jihad : story of white slavery	white_grievance	
lmao ... it's always the jews who stage these so called hate crimes ...	stereotypical	
look  as long as you goys don't point out that jews get zionism & israel  and we suppress white nationa	irony	
look american ! ! just few years ago those polish people was used to clean our cars window glasses in the streets in italy	inferiority	
makes me wonder if i will be called racist for calling him a a muslim .. even though he is white ..	white_grievance	
maybe.after all the white folks are bred out .	white_grievance	
merlan provides us with another example of why jews should be excluded from white countries #withjewswelose	incitement	
more than half of french population terrified of being killed in isis attack	incitement	
muslims will not condemn koranic verses . making them all part of the problem .	stereotypical	
my 4 reasons to defund amnesty	incitement	
nazism & white supremacy are not at all incompatible with jihad terror : you're in denial .	stereotypical	
need a massive deportation program ... around 100000  000 get us back to a 1960 demographic  #maga ... #14w	incitement	
new info graphic : most police are white  most criminals are black  = many blacks shot by white officers #dothemath	stereotypical	
not a white supremacist hate the kkk  neo-nerds  blm & anquifa  isis well all sissy terrorists . i got a rebel flag because i'm a rebel . america	incitement	
not just enslave though they also want to rape & force white women in marriage & they'll kill their own 4 race mixing 2	incitement	
nothing will stop the marxist destruction of the white race  it doesn't matter what the white race has done  doing now or will d0	white_grievance	
now more than ever the white race need to band together . the world would love our extinction . we must stand up to them	white_grievance	
of course rape of white women is the race uniting pt of true love and compassion #waronwhites  #whitegenocide	white_grievance	
one day isis monsters will be in our midst & white liberals will serve them humus cooked for them by white feminists	stereotypical	
pass it and let barry show he stands for illegals vs . legal americans  then override his veto !	incitement	
pegida is all about saving white race from onslaught of islam . hitler was saving his race from ill effects . his people voted 4him	white_grievance	
people are upset on the cow protection issue  pl . save your core support base  muslims do not vote for you	stereotypical	
people call me racist yet i have more in common with you a black man than i do with a white male who's vote for democrats	white_grievance	
pro-whites r the target . antifa are tools of the system . further  antifa / blm are terrorist	incitement	
race baiting self loathing white guilt syndrome snowflake leftists antifa loving media .	white_grievance	
race hate rape of 1400 white english girls . muslims decide non-cooperation with british police :	white_grievance	
race is the ultimate uniter . deep down the hipster from brooklyn knows he's better off wth the country club old boy than he is with some random non white .	inferiority	
rick perry on illegal mestizo invaders lunatic ... helping to push white #genocide in #america	stereotypical	
right on america needs to wake up  enough black on white hate crimes and our media does nothing for whites	white_grievance	
see shucking and jiving for the white man is paying off	stereotypical	
seems to fully understand that it's not the responsibility of american tax payers to support illegals  pretty simple	white_grievance	
so sad . they have no choice but to deport all non-white residents . are they racist ? no . survivalists	incitement	
so you believe it is wrong for a white man to defend his own race ? do you believe that it i	white_grievance	
sometimes hate is good . i hate islamic jihad ! lol .	incitement	
sometimes i think we're the only white people left old man .	white_grievance	
stay white  my dear christian friend  stay white .	incitement	
that is white genocide at work	white_grievance	
that's a consolationto be killed by a middle class  educated jihadi rather than by	inferiority	
thats the fake muslims not everyone wants to kill themselves thats just the retards	stereotypical	
the #us #education system discourages critical thinking skills . hence the ignorant hate that persists against #hitler & national-socialism .	white_grievance	
the ' white lives matter ' rally tomorrow is going to be a disaster & griffin ( ) is actively destroying white identitarian movt .	white_grievance	
the days of whites failing to notice our own displacement are over . #sportsball #boycottnfl #14words #maga	white_grievance	
the difference between third world countries and america is the people . think about that a minute . #trump2016 #hillary2016	inferiority	
the illegal immigration from mexico is another name 4 white genocide #stopwhitegenocide	white_grievance	
the modern young white male is poisoned and distracted by the stupid social media culture ( & tv ) where anything goes and everyone race mixes .	white_grievance	
the real face of islam ! #wakeupamerica #tcot #ccot #nosharia #trump	incitement	
the subcontinental-darkies climbed the america's political / corporate / social ladders faster than other asian groups	inferiority	
the true comparison is what is the ratio of white on black vs black on white crime & violence .	stereotypical	
the usa will no longer be around by then thanks to racist white liberals and illegal welfare bums .	white_grievance	
the white race must unite against our genocide > the flooding of white nation's with nonwhites has been deliberate >	white_grievance	
there are already enough mid easterners in western europe to effectively end the white race in under 30 years time	white_grievance	
they already said that no matter what  if youre white  youre racist .	white_grievance	
this is #potus obama's legacy  illegal criminal murderers of americans ...	white_grievance	
this is an inherently white thing to do . keep up the good work .	incitement	
this is only the beginning  believe me - whitey is done being pushed around by marxist / anarchist / leftist anti-white scum  time for pushback !	white_grievance	
this is part of their auto-victimisation  to justify the jihad ! since ever ! ! !	stereotypical	
this is perfect . its okay to be white forces the left to show how much they hate ideas that are simply not their own .	white_grievance	
this is what you get when you preach anti white hate and white genocide .	white_grievance	
too good to be true ? ? whitey fights back ! ! southern italian town world's ' only white town ' after ethnic cleansing	white_grievance	
traitor . there's nothing worse than an #antiwhite white person .	white_grievance	
truth about the holocaust religion terrifies its priests : a nicely condensed piece on the fictional ' holocaust ...	stereotypical	
ugh we get it  you hate whites and hate your own white face .	white_grievance	
uk : white woman punched to the ground and spat on in racist attack by non-white thug | more :	stereotypical	
unfortunately explicit white segregation is literally illegal under us law . black and brown people can segregate explicitly  but we cant .	white_grievance	
via robert spencer in frontpage mag : leland yee : an anti-gun democrat jihadists can love #catholic	incitement	
video : white man march - white nationalist rallies organized across the globe for march via white time	incitement	
we are back to support you and you alone will win preserve our beautiful white race including hillary types	white_grievance	
we need few more video like this to open eyes of sleeping hindus christian conversion is big	white_grievance	
well he they would be born white . and most jews were born white .	inferiority	
what is #hatespeech ? homosexuals & jews relentlessly smear christians & white males.why isn't that hate speech ?	white_grievance	
when white people accuse other white people of being white . the most bizarre form of intolerance and racism .	white_grievance	
white civilization is superior than monkeys	inferiority	
white countries no more ... this is #whitegenocide	white_grievance	
white girl shot to death for fun by black racist murders via	white_grievance	
white men must act to save the honour of white women and girls .	white_grievance	
white people are an endangered species that is affected by open borders .	white_grievance	
white people have no value to the left and the white on the left hate themselves	white_grievance	
white privilege 101 : salon is there any truth to the argument that jews are hostile to white people ?	stereotypical	
white will dominate ! sieg heil hitler	incitement	
whites are finally beginning to vote like other races--in their own interests .	white_grievance	
why is d white race most beautiful creation of god ?	inferiority	
why should the white race not enjoy a homeland of their own making ? why should anyone actively seek to replace them ? that makes no sense .	white_grievance	
works for me ... don't give them benifits in any form except for a bus ride back to mexico .	incitement	
ya i'm sure & you did say tea party = kkk and called kkk racist . but whatevs bye felicia	white_grievance	
yay no amnesty ! make yourself illegal or go back to where you came from . we need an honest country not a bunch of liars  thieves  killers	inferiority	
yes : hate injustice toward women  hate curtailing of free speech  hate warfare against non-muslims  hate killing of apostates ...	stereotypical	
you recognize you are talking about a race who literally put people of other races in a real yoke .	stereotypical	
you say your surprend . your are nothing . blacks will over take you guys and take over america . all talk no action .	white_grievance	
you're missing the point . 1 black attacking 1 of my white people is 1 too many .	white_grievance	
"  "" : blood & honour - white aryan resistance t-shirt from the white resister : "" "" ; """	incitement	
"  "" : david lane : open letter to the dead white race "" "" """	white_grievance	
"  "" diversity "" "" is code for no more white faces . the white race is the only race that has genuine diversity . #tcot #ccot """	white_grievance	
"  "" white "" "" jews feel nothing 4 the lives of whites ! they only care about jews ! """	stereotypical	
"  "" white supremacist "" "" is an anti-white slur . """	white_grievance	
" awesome . estonian politician :  "" i don't want blacks in estonia ; this is a white country "" "" """	incitement	
" call them  "" anti white "" "" cause that is what they are ! #whitegenocide """	white_grievance	
" funny how it's  "" racist "" "" to get the white vote  while they openly want the votes from jews  blacks  hispanics  etc . """	white_grievance	
" how do you reconcile your view with the koran commanding  "" kill the infidel "" "" ? """	stereotypical	
" it's because they are a bunch of  "" w . i . n . o's "" "" ( cucks who are "" "" white in name only "" "" )  who are too afraid to be pro-white ... """	other	
" look into affirmative action . it's straightforward anti-white discrimination . then look at brazil . that's your  "" race blind "" "" future . """	white_grievance	
" of course #trump is not  "" your guy "" "" . only fools could imagine a * white friendly * candidate emerging from jew cesspit  nycity """	inferiority	
" rt  "" : : non-white hate crime mob violence comes to finland ( video ) "" "" ; cultural enrichment ? """	stereotypical	
" rt  "" : african immigrants brutally beat white people in melbourne home invasion via "" "" """	stereotypical	
" rt does  "" generation identity "" "" really want the "" "" remigration "" "" of black americans ? if yes  where to ?    """	incitement	
" rt google search queries for  "" racism "" "" from 2004 to present . mostly white countries bombarded with anti-white media and open borders lunacy . the rest of the world is racist af and doesn't care . """	white_grievance	
" rt imagine the white-knuckle rage if the headline read :  "" white people deserve safe spaces without ethnic minorities . "" "" """	white_grievance	
" rt white guilt is coming into play with white players wanting to look  "" woke "" "" and black players supporting him just because he's black ! """	white_grievance	
" whitearyanpride : they say they are anti-racist  but what they really are is anti-white ! via  "" """	incitement	
#charlotteriots = anti-white racial hatred . if you're ready to stop it  join . white children deserve a future .	incitement	
#neverforget israel & jewish criminals did 9/11 to justify endless war & tyranny . google israel did 9/11 - i dare u	stereotypical	
#stopextinction of the white race . your #children need you :	white_grievance	
#whitegenocide is real . stop making light of confederate issues . stand up for america - - be american ! ! ! #dixie	white_grievance	
. #jewish #antihate have pages documenting #antimuslim #bigotry of & cohorts	stereotypical	
. when are you going to write about how jews destroy white institutions ? jews created this .	stereotypical	
. yrs of interaction w / white atheist science ! are vapid & men r impotent.christianity is white past & future	incitement	
9 year old white boy commits suicide after being tormented for months by racist arabs | read more :	stereotypical	
9year old white boy commits suicide after being tormented for months by racist arabs | read more : via	stereotypical	
: #arizona politician proposes a special holiday for white people #altoarizona #immigration	white_grievance	
: caleb russell inspires next #cair bus ad : #myjihad is to kill all the white people on this bus	stereotypical	
: canadians rejecting misogynist gay / jew / westhating islam must fearlessly expose	stereotypical	
: david duke : the racial murder and rape of white women in america	stereotypical	
: demokkkrats stop your racist deceit ! obama sat underneath a racist america hating black liberation garbage spewing idiot	white_grievance	
: dr . david duke : will the white race survive ? via	white_grievance	
: estonia : 1000 white nationalists protest against non-white invasion )	incitement	
: in memoriam panzerdivision totenkopf t-shirt from the white resister	incitement	
: jw is a truth organization not a hate orginzation . islam is all about hate . #ar	stereotypical	
: learn from it  #liberals ~ elin krantz : just another dead white liberal female ...	stereotypical	
: reza aslan lies about arab spring bringing democracy as egypt mp calls for sharia punishments crucifixion & amputa ...	stereotypical	
: show me buddhist mandate to kill muslims . i'll show you islams mandate to kill polytheists	stereotypical	
: south africa white genocide escalates  international jew-controlled media remains in silence	white_grievance	
: the reason islam can win every attempt to advance sharia is kafirs are tolerant of all its demands .	stereotypical	
: there is no hate like islamic hate .	stereotypical	
: they hate you because the jew controlled mainstream media is brainwashing them . #jewishsupremacy	stereotypical	
: us will have a civil war . stupid white libs who call white people privileged and racist	incitement	
: white man lynched and robbed by a racist black gang ( video ) via	stereotypical	
: white pill time : richard spencer helps to lead torchlight procession in support of white southern h	incitement	
already destroyed 2/3 of christendom & people still don't get it . & jews tell us	stereotypical	
americas poorest white town proves link between race and crime #swrm #whitetown #us via	stereotypical	
and there was an underlying white identity resurgence to trump's campaign . it's why the jews freaked so much .	stereotypical	
another anti-white racist attacks in obama's america ( video ) via	white_grievance	
anti-white un boss demands more non-white invasion into uk  despite major opposition | more :	white_grievance	
ask more rss intellectuals to come on powerful twitter and spread the message of brahma  vishnu and mahesh .	incitement	
be glad for it ! white people are getting an eyeful of black arrogance and are realizing we are right !	stereotypical	
beneath the mask of the human rights industry is the final solution of the white race .	white_grievance	
black lives matters is run by lesbians !	inferiority	
build the wall . deport them all . dont let them take away our machine guns . 2nd amendment	threatening	
but isn't milk a symbol of white supremacy ? #worldmilkday	irony	
but thats deceptive bcuz not all pigmentated people fail . is it african ethnic groups ? is it a tribal mentality ?	stereotypical	
can i join if i'm black but on the inside white ?	irony	
clarke  elder racist blacks  whites need to stop attacking white folks	white_grievance	
cuck erickson : that's racist ! you're all racists !	other	
cuckservatives : french family edition via #cuckservative #whitegenocide #transracial	other	
danish prime minister warns of emergence of muslim parallel societies  no-go zones |	stereotypical	
demokkkrats started the kkk and now they are starting a racist jihad against white cops ! demokkkrats are racism experts !	stereotypical	
every white woman in america and other white nations needs to be able to handle a firearm ! !	incitement	
gee i wonder why . why dont you tell us more about how ( ( ( you ) ) ) hate all white people ?	white_grievance	
great news  it's about time us white folks did somethingl	incitement	
has become a school committed to black empowerment and white disenfranchisement .	white_grievance	
he has openly advocated to kill white men . can't trust muslims .	stereotypical	
i don't hate people . is it hate to reject an intolerant ideology ? there's plenty of hate in your islamic texts : #kuffarhate #misogyny #jihad	stereotypical	
i get it . asia for the asians . africa for the africans . white countries for every	white_grievance	
i had no idea they were going after white people so aggressively & violently .	white_grievance	
i had should have placed a bet that it would be a jew	stereotypical	
i have a shocker for you  there are no white supremacists  but there are white ( ( ( supremacists ) ) )	white_grievance	
i think white self-hating should be treated like mental illness .	white_grievance	
i'm randomly on a white power racist website and find this ! ! ! : adolf hitler smiley face t-shirt	incitement	
if black dysfunction is an indicator of institutionalized white supremacy  it appears cities get more white supremacist as they get blacker .	inferiority	
if hindus in bihar want to live with dignity than they need 2 throw out these two psuedos hindus #abkibaarbjpinbihar	incitement	
if muslims are to be considered a race ( absurdly ) then by default non-muslims are a race.therefore jihad is racist .	stereotypical	
if only the fuhrer would have given rommel one more division in north africa ...	incitement	
is a amazing video . if you're white and haven't watched this  watch it . #whiteandproud #racism #doublestandards	incitement	
israel stopping african immigrants whilist jews open america and european borders	stereotypical	
it allows white people to be free of black crime !	inferiority	
it is good that blacks are driving a wedge between them and white people ! we must make sure our people are aware !	incitement	
it would be nice to have historically white colleges and universities . we have them in the south . that would be called * racist * though	white_grievance	
it's 100 % correct that whites and blacks shouldnot date  we are a minority compare	incitement	
it's only evil when white people do it .	white_grievance	
it's wonderful if these white women will wake up to anti-white racism.but some whites love to be punished for being white .	white_grievance	
its about money  not christian love cost #refugee family $ 257481+ welfare + food stamps	stereotypical	
jews crown miss holocaust survivor in morbid beauty pageant #withjewswelose	stereotypical	
just fyi israel and jews did 9/11 and blamed muslims to justify the global war on terrorism	stereotypical	
keep it white	incitement	
kosher conservatives think money is the measure of everything . but more important than mere $ $ is the quality of	stereotypical	
lets turn our hate into action : action report on the liverpool white man march via	incitement	
libertarian solution : more third world immigration	inferiority	
loretta lynch where you at on the chicago hate crime ! those thugs attacked a man because he was white and handicapped !	white_grievance	
maybe you should go to black lives matter and whine about your white guilt	incitement	
milo can be useful to an extent . his gayness makes lefties more receptive to him . i started with milo and ended at the alt-right	incitement	
more white genocide on the tl smh	white_grievance	
most muslim terrorists are white  what are they talking abt ?	stereotypical	
muslims always feel provoked and offended ... that's why islam has to be banned from democracies .	stereotypical	
muslims arrested for conning elderly into funding jihadis #islam #islamophobia #tcot #antimuslim #uk	stereotypical	
my fave question to ask counter protesters ( who are always majority white ) is why do they hate white people .	white_grievance	
neocon jew bill kristol wants to create a committee not to renominate the president daily stormer	stereotypical	
netherlands : 65 % of 1990s immigrants on welfare #swrm #immigrants only 68 % ! ? id check again ! via	stereotypical	
never i hope it's degrading can't believe the germans they have sunk so low !	inferiority	
no . this is the nation of the united states of america . white people are indigenous to the usa .	stereotypical	
not racist at all brother makes you a patriot .	incitement	
not referring to a single tattoo . perhaps it's time to start something new  something that's not exclusionary to dedicated  good  whites .	incitement	
oh white guilt .. like i said i have none of that	incitement	
ohio law  whitey pays for blacks crimes or jail . white girls arrested so corrections officers have something to play with .	white_grievance	
optics cucks eternally btfo ! #whitelivesmatter did more to advance our narrative than any rally thus far . congratul	white_grievance	
paul : what's wrong with all western nations is we're ruled by jews & have been poisoned by their false narratives	stereotypical	
people are now aware that islam is not a race so it is not racist to hate muslims . muslims are people that join an evil cult .	stereotypical	
pretty much . why would jews ( who look like white men ) bash themselves ? oh ... they wouldn't .	stereotypical	
racist attacks on white dutch people by mobs of muslim immigrants continue ( video ) va	stereotypical	
racist black goes on shooting spree  says his teachers taught him to hate whites | read more :	stereotypical	
rt the active shooter in charleston sc is a crazy black man not a white supremacist . i know you democrat race baiters ( cont	stereotypical	
save your tax dollars deport the illegals now !	incitement	
screw the blind media and cucks join and save you people !	other	
she's another low iq hollywood liberal . islam is submission and btw if they ran america	stereotypical	
show your pride with wpww t-shirts from the white resister via	incitement	
so answer this : are u jewish ? cause jews  though they have some white blood  are semites and many jews claim to be white when convenient .	stereotypical	
so is mass non-white immigration to the west in the minds of jews	stereotypical	
so twitter is anti-white . good to know	white_grievance	
suburban middle class whites fear making waves because they have much more to lose . its easier to say y	white_grievance	
switzerland : africans kill elderly white man then start screaming about racism #swrm #switzerland via	stereotypical	
that's not a hate crime though  nooooo only us evil white people commit hate crimes ..	irony	
that's why racial segregation is necessary	incitement	
the 1st slave owner in fl was a black man  owning white & black slaves . muslims enslave all races today . slavery is not about race !	stereotypical	
the chicoms seemily care more about their people's wellbeing than european nations about their own ? bizarre .	white_grievance	
the democratic base does not want a white  especially a white man  to represent them .	white_grievance	
the only whites who are declining are white liberals  white conservatives and everything to the right of them are multiplying . whites of tomorrow will be fewer but they will be far more right wing and far right . everything is going our way	incitement	
