post	target	implied_statement
" glaciers  nordic women  peace and prosperity . libs tell me a white ethnostate is  "" racist . "" "" so what ? """	liberals	liberals are against white people.
" glaciers  nordic women  peace and prosperity . libs tell me a white ethnostate is  "" racist . "" "" so what ? """	non-white people	non-white people are inferior
please help us kkk	kkk	The KKK is helpful.
please help us kkk	non-white people	non-white people are inferior
well  white people are all alike  so it should be an easy read .	white people	White people are all alike.
well  white people are all alike  so it should be an easy read .	white people	white people are all the same
" so basically your ok with no firing blacks and affirmative action but firing whites because  "" muh free market "" "" . ok . """	whites	whites are discriminated against in the workplace
" so basically your ok with no firing blacks and affirmative action but firing whites because  "" muh free market "" "" . ok . """	Liberals	Liberals hold double standards
" rt  "" : blood & honour : the white aryan resistance t-shirt from the white resister : "" "" ; """	non-white people	non-white people are enemies
" rt  "" : blood & honour : the white aryan resistance t-shirt from the white resister : "" "" ; """	Minorities	Minorities are subpar human beings.
jew pleads guilty on behalf of austrians : the president of austria who just so happens to be a jew has assigne ...	Jews	Jews are criminals
this is just another good reason for white southerners to quit giving their money to the nfl .	Minorities	Minorities take money out of the hands of whites.
this is just another good reason for white southerners to quit giving their money to the nfl .	Black people	Black people should know their place
" go and find your  "" black "" "" knight in shining armour ! #whenamericawasgreat #whitelivesmatter """	Black people	Black people hold America back
" go and find your  "" black "" "" knight in shining armour ! #whenamericawasgreat #whitelivesmatter """	Blacks	Blacks fight against whites
#iffootballdidntexist white men would fulfill their tribal instinct by standing up for their own kind  not worshipping negros who hate them .	White people	White people support only white people
#iffootballdidntexist white men would fulfill their tribal instinct by standing up for their own kind  not worshipping negros who hate them .	Black people	Black people hate white people
this is disgraceful makes me sick that it white on black crime that's mostly reported ! black on white happens more t repoted	black people	Black people are more violent and racist than white people
this is disgraceful makes me sick that it white on black crime that's mostly reported ! black on white happens more t repoted	blacks	Blacks hurt whites more than whites hurt blacks.
i'm saying stop non white immigration . white people can come here all they want . and good man  i love that flag .	non-white people	non-white people are inferior
i'm saying stop non white immigration . white people can come here all they want . and good man  i love that flag .	non-whites	Non-whites aren't as deserving as whites.
' acting white ' remains a barrier for black education	Blacks	Blacks are opposed to white culture
' acting white ' remains a barrier for black education	black people	Black people shouldn't act white.
white people are the majority of the democratic party . they just manipulate minorities . it's not a race thing . it's individual ideologies .	Democrats	Democrats control Minorities
white people are the majority of the democratic party . they just manipulate minorities . it's not a race thing . it's individual ideologies .	white people	White people are in control of the Democratic party.
- 1 fertile white womb	Minorities	Minorities are subpar human beings
how else are you going to make white people breed outside their race ? majority of whites do not	Minorities	Minorities are subpar races
how else are you going to make white people breed outside their race ? majority of whites do not	white people	White people don't want to have kids with other races.
look at white civilization and look at non-white	Minorities	Minorities are lower as a race than whites.
i reject the moral superiority of a coalition led by white men vs . the will of black  brown ... via	white men	White men think they are more important than others.
i reject the moral superiority of a coalition led by white men vs . the will of black  brown ... via	Whites	Whites are arrogant
white student union offensive  but anti-white student union is welcome at toronto university via	white people	White people are oppressed.
white student union offensive  but anti-white student union is welcome at toronto university via	Progressives	Progressives get special treatment
" rt : video about the #jewish  "" federal "" "" reserve and how your money is manipulated and stolen . #endthefed #taxes """	Jews	Jews manipulate money.
" rt : video about the #jewish  "" federal "" "" reserve and how your money is manipulated and stolen . #endthefed #taxes """	Jews	Jews are thieves.
. not a good night for the anti-white gay pool boy  eh ?	Gays	Gays are inferior.
oh sheeeiiiitt ! supektet white suepremist taking over !	white people	White people are superior.
oh sheeeiiiitt ! supektet white suepremist taking over !	Whites	Whites believe in their own superiority.
more white silence and white guilt nonsense . you'd be better off fighting racism from obama  sharpton  and holder .	Blacks	Blacks promote white shame
more white silence and white guilt nonsense . you'd be better off fighting racism from obama  sharpton  and holder .	whites	whites feel race guilt
absolutely not . white protestant christians built america and	Minorities	Minorities are weak and unskilled
absolutely not . white protestant christians built america and	white Christians	White Christians founded America.
pro-white artists need to rally around : #flint #bonestown #trs new dawn for white art ..	Minorities	Minorities are inferior
they have little to no intention of securing the borders . they want their cheap labor and future voters .	Immigrants	Immigrants are taking over
white supremacists were less than . 02 of the pop before they amped up the war on white people . that numbers tripled . they are forcing this .	whites	white supremacists are growing because of violence against whites
white supremacists were less than . 02 of the pop before they amped up the war on white people . that numbers tripled . they are forcing this .	Black folks	Black people cause radicalism
white supremacists were less than . 02 of the pop before they amped up the war on white people . that numbers tripled . they are forcing this .	People of color	People of color are at war with white people
: video : czechs pledge loyalty to homeland and the reich ( 1942 )	Minorities	Minorities are subhuman
why didn't obama cry when colleen hufford was beheaded in oklahoma ? oh wait she was white and the killer was a black racist muslim !	white people	Violence against white people is okay.
why didn't obama cry when colleen hufford was beheaded in oklahoma ? oh wait she was white and the killer was a black racist muslim !	Blacks	Blacks are anti-white
your organization is a joke and is not racist or a white supremacist . all lives matter so stop your lies !	Whites	Whites believe in their own supremacy.
: stop the white genocide in south africa ! ( video ) via	Minorities	Minorities are destroying the white race
: stop the white genocide in south africa ! ( video ) via	white people	White people are dying in South Africa.
as always  a complete bias against white people . no hate charges for black power . white lives do not matter .	black people	Black people are never charged for crimes.
as always  a complete bias against white people . no hate charges for black power . white lives do not matter .	Black people	Black people are favored
every white area / country is the most modern  civilised & clean .. it's no wonder they want to flock like rats .. their countries will be empty one day while ours are over run with them .. its wrong ! people didn't fight & die to protect our countries to be over run today .	Immigrants	Immigrants are uncivilized
every white area / country is the most modern  civilised & clean .. it's no wonder they want to flock like rats .. their countries will be empty one day while ours are over run with them .. its wrong ! people didn't fight & die to protect our countries to be over run today .	white people	White people are clean.
white people donating to white organizations is bad . jews donating to jewish organizations is good .	Jews	Jews are hypocrites
white people donating to white organizations is bad . jews donating to jewish organizations is good .	white people	White people are bad.
they hurt white people  they are full of hate just like the left  they are original de	non-white people	non-white people are dangerous
they hurt white people  they are full of hate just like the left  they are original de	white people	White people are hateful.
three cheers for for daring to stand up for a people who are targeted for the ash heap of history . #globalwaronwhites	Minorities	Minorities want to obliterate the white race.
so islam doesn't command to kill disbelievers ? is that what you are saying ?	Islamic people	Islamic people are killers.
so islam doesn't command to kill disbelievers ? is that what you are saying ?	Muslims	Muslims preaches for murder.
cnn wants black people to think the president is racist . look around you	Whites	Whites promote racial division.
cnn wants black people to think the president is racist . look around you	black people	Black people think the president is racist.
happy mother's day to all the wonderful #aryan moms out there . thank you !	Minorities	Minorities are inferior
happy mother's day to all the wonderful #aryan moms out there . thank you !	Aryan mothers	Aryan mothers are the best.
white welcome aboard  glad to have you	white people	White people like other white people.
that negates the global system of white supremacy ?	Minorities	Minorities are the inferior races.
" how do you reconcile your view with the koran commanding  "" kill the infidel "" "" ? """	Muslims	Muslims teach murder
" how do you reconcile your view with the koran commanding  "" kill the infidel "" "" ? """	Muslims	Muslims are killers.
white massive revolution !	white people	White people want to start a revolution.
white massive revolution !	Minorities	Minorities instigate against whites.
the germanic peoples are the enemies of the white race  notice how it's germanics enabling every other enemy	Germans	Germans hate white people.
the germanic peoples are the enemies of the white race  notice how it's germanics enabling every other enemy	Germans	Germans like minorities more than whites.
... many arrests of muslim youth in bharat regarding sexual violence against animals ... its happening	Muslims	Muslims are sexual deviants
... many arrests of muslim youth in bharat regarding sexual violence against animals ... its happening	Muslims	Muslims are deviant.
: new black panther's white genocide project : ' if they are white  kill em all ' | read more :	black people	Black people want to kill white people.
: new black panther's white genocide project : ' if they are white  kill em all ' | read more :	Blacks	Blacks are looking to end the white race.
" rt trump :  "" we will no longer surrender this country or its people to the false song of globalism . "" "" """	Immigrants	Immigrants are invading America
the world has been turned upside down : kosher republic is purging the #nevertrump cucks :	Jews	Jews are controlling
the world has been turned upside down : kosher republic is purging the #nevertrump cucks :	jews	jews are feminine
i have even less sympathy for refugees now	Immigrants	Immigrants are guilty
i have even less sympathy for refugees now	refugees	Refugees don't deserve sympathy.
no commies . just americans . free & protecting democracy . what happens to black people if the fascists win ?	fascists	Fascists want to hurt America.
" how can human race dna have any  "" anti white agenda perpetrated by the jews  "" "" #blacktwitter """	Jews	Jews hate white people.
" how can human race dna have any  "" anti white agenda perpetrated by the jews  "" "" #blacktwitter """	Jews	Jews are subversive
beware the average white man via	white people	unspecified
beware the average white man via	white people	White people are just average.
the enemy makes it clear what they hate and its us white folks and our heritage . war has been declared on us !	Minorities	Minorities are out to destroy the white race.
the enemy makes it clear what they hate and its us white folks and our heritage . war has been declared on us !	Non-white	Non-whites hate whites
the # of radical #muslims in america who want to kill christians and jews is a lot higher than the number of racist white supremacist by far	Muslims	Muslims promote the murder of whites.
the # of radical #muslims in america who want to kill christians and jews is a lot higher than the number of racist white supremacist by far	Muslims	Muslims want to kill Christians.
why do you hate white people ?	Non-whites	Non-whites hate white people.
the only race the media disparages is the white race . they would never say this about any other race  therefore they are anti-white .	media	Media hates white people.
the only race the media disparages is the white race . they would never say this about any other race  therefore they are anti-white .	Progressives	Progressives are against the white race.
america cannot be a country that is for white interests with non-whites here . logical	Immigrants	Immigrants are leeches
america cannot be a country that is for white interests with non-whites here . logical	Minorities	Minorities bring down white culture
we are all white supreemists to the msm . optics ? they'll make their own bad optics to fit the fake stor	whites	whites are superior
we are all white supreemists to the msm . optics ? they'll make their own bad optics to fit the fake stor	Progressives	Progressives are anti-white.
what does racist mean ? do i have to belive measured differences bw races on average are not real or are white ppl's fault ?	Minorities	Minorities blame whites for all the problems.
what does racist mean ? do i have to belive measured differences bw races on average are not real or are white ppl's fault ?	white people	White people are racist.
ku klux klan heads to ferguson race riots to guard white businesses and protect innocent whites via	Blacks	Blacks victimize whites
new mexico used to give them id's and that allowed them to do whatever they wanted . very bad idea	Immigrants	Immigrants are given special considerations
" brilliant comments sandra !  "" : black on white murders grow more sadistic in sa ( video ) via "" "" """	Blacks	Blacks are violent criminals
" brilliant comments sandra !  "" : black on white murders grow more sadistic in sa ( video ) via "" "" """	black people	Black people are violent.
> a uniquely american people & history . globalists hate the south because it is american . we're all southrons .	Progressives	Progressives despise Southerners.
sjws are wrong . whites have been brainwashed to work against our own interests .	Liberals	Liberals are stupid
sjws are wrong . whites have been brainwashed to work against our own interests .	white people	White people are brainwashed.
spanish are white . some have mixed genes due to islamic occupation  but most are white .	Spanish people	Spanish people are white.
spanish are white . some have mixed genes due to islamic occupation  but most are white .	Minorities	Minorities are lower races of humanity.
racist attacks on white dutch people by mobs of muslim immigrants continue ( video ) va	Muslim immigrants	Muslim immigrants are violent and prejudiced.
racist attacks on white dutch people by mobs of muslim immigrants continue ( video ) va	Muslim immigrants	Muslim immigrants are violent
in the wrong country . plenty islamic countries . no rights or benefits to those who refuse to pledge allegiance to our country .	Muslims	Muslims deny the rights of their own people.
in the wrong country . plenty islamic countries . no rights or benefits to those who refuse to pledge allegiance to our country .	Muslims	Muslims are outsiders
it's race bro . whites need to stop denying this reality and fight fir their survival .	Minorities	Minorities are out to destroy whites
it's race bro . whites need to stop denying this reality and fight fir their survival .	white people	White people need to fight for their rights.
"  "" we the people ... "" "" * most * cease talking ! "" "" ... walk the walk ! "" "" america's time line is shortening w the infiltration of jihad . """	Muslims	Muslims want to take over the world
"  "" we the people ... "" "" * most * cease talking ! "" "" ... walk the walk ! "" "" america's time line is shortening w the infiltration of jihad . """	muslims	muslims want a jihad
"  "" fascism "" "" is now having borders and enforcing laws and making our own laws and governing ourselves like we used to do #trumprally """	Immigrants	Immigrants are second class citizens.
"  "" fascism "" "" is now having borders and enforcing laws and making our own laws and governing ourselves like we used to do #trumprally """	facsists	Fascists are hypocrits.
i have an ultra liberal next door who says there is no such thing as black racist only white people can be racist unbelievable	white people	White people are racist.
i have an ultra liberal next door who says there is no such thing as black racist only white people can be racist unbelievable	black people	black people are racist
whores of babylon : lena dunham celebrates white genocide via	Progressives	Progressives incite violence.
whores of babylon : lena dunham celebrates white genocide via	women	women shouldn't be promiscuous
this is an inherently white thing to do . keep up the good work .	Minorities	Minorities are substandard.
this is an inherently white thing to do . keep up the good work .	white people	White people are right.
repubs hating muslims blacks hispanics immigrants women govt libs ... who's left for angry white bigots to hate ?	white people	White people hate everyone.
repubs hating muslims blacks hispanics immigrants women govt libs ... who's left for angry white bigots to hate ?	Republicans	Republicans are prejudiced
" i regard hitler + napoleon as  "" the emperors of the white race "" "" . they ruled europe . greatest thing since rome ! ! """	non-white people	non-white people deserve oppression
" i regard hitler + napoleon as  "" the emperors of the white race "" "" . they ruled europe . greatest thing since rome ! ! """	white people	White people are good at ruling nations.
zionists : marxists ; socialists ( like the dsa ) ? ! liberalist  globalist ... islamist  lgbt  & multiculturalism . nexus genocide of white people	white people	White people are dying out.
zionists : marxists ; socialists ( like the dsa ) ? ! liberalist  globalist ... islamist  lgbt  & multiculturalism . nexus genocide of white people	Liberals	Liberals want to wipe out white culture
i can go for no wall whatsoever just have armed military stationed along the border and shoot on sight	immigrants	Immigrants should be shot.
i can go for no wall whatsoever just have armed military stationed along the border and shoot on sight	illegal immigrants	illegal immigrants are a threat to national security.
preserving our european identity is vital to turning america back to the country it once was .	european	the creators
preserving our european identity is vital to turning america back to the country it once was .	racial minorities	turning America back to white european America.
im new to white pride but eh black's are taking over washington state slowly every man need's a black slave i believe	Blacks	Blacks are power hungry and aggressive.
im new to white pride but eh black's are taking over washington state slowly every man need's a black slave i believe	Black people	Black people are inferior
buddy    i don't want you to hate yourself . i want you to hate your white skin	white people	white people are undesirable
buddy    i don't want you to hate yourself . i want you to hate your white skin	White people	White people are undesirable.
" rt every few years  the left invents a new - ism or - phobia  and it is adopted as  "" morality "" "" by #truconservatives """	Progressives	Progressives force their values on others.
" rt every few years  the left invents a new - ism or - phobia  and it is adopted as  "" morality "" "" by #truconservatives """	Leftists	Leftists like Islamic people.
: white pill time : richard spencer helps to lead torchlight procession in support of white southern h	Minorities	Minorities are lower than whites
these are just young people who are looking for ooportunities in our country  the american dream ... to kill actual americans who are too stupid to stop them from coming here	Immigrants	Immigrants are inferior
these are just young people who are looking for ooportunities in our country  the american dream ... to kill actual americans who are too stupid to stop them from coming here	Immigrants	Immigrants are vicious murderers
they target whites everyday .	Minorities	Minorities go after white people
they target whites everyday .	whites	whites are a targeted group
i loved how the clueless police never can find a motive of a muslim killing a kafir ! how about opening a koran to read it ?	Muslims	Muslims are killers.
i loved how the clueless police never can find a motive of a muslim killing a kafir ! how about opening a koran to read it ?	Muslims	Muslims teach murder
white people cured polio . one of many unearned privileges of living in a white society .	white people	White people benefit society.
white people cured polio . one of many unearned privileges of living in a white society .	non-white people	non-white people are stupid
ethnic norwegians disappearing as non-white colonization intensifies #swrm #nonwhite #prowhite via	non-white people	non-white people are threatening
we wanted to hear milo ! !	Minorities	Minorities are substandard people
keeping jihadis at bay is more important than free speech .	Muslims	Muslims are threatening.
keeping jihadis at bay is more important than free speech .	Muslims	Muslims are at war with whites
' jews of color ' denounce white-presenting jews for saying jews aren't white via	Jews	Jews aren't white.
' jews of color ' denounce white-presenting jews for saying jews aren't white via	Jews	Jews hate white people.
guadeloupe and martinique are not haiti thanks to slavery  colonialism  & white supremacy .	Whites	Whites believe in their own racial primacy.
guadeloupe and martinique are not haiti thanks to slavery  colonialism  & white supremacy .	white people	White people like slavery.
splc preaches hate against conservatives and white people	SPLC	SPLC hates conservatives and whites.
splc preaches hate against conservatives and white people	Progressives	Progressives abhor whites.
" a racist org like is breath of fresh air . in a time when most are afraid to use the word  "" racist "" ""  she did . """	Whites	Whites are cowards
white genocide is worldwide  not just in america . it is something we can rally around in every white nation .	White people	White people are being destroyed by People of color
white genocide is worldwide  not just in america . it is something we can rally around in every white nation .	non-white people	non-white people are threatening
even if you're liberal  they still hate you for being white . keep your dignity instead . #feelthebern #trump2016	non-white people	non-white people are hateful
: caleb russell inspires next #cair bus ad : #myjihad is to kill all the white people on this bus	Muslims	Muslims are violent terrorists.
: caleb russell inspires next #cair bus ad : #myjihad is to kill all the white people on this bus	Muslims	Muslims hate white people.
aryans will never forget the massacre of german aryans	Minorities	Minorities kill whites
aint that america : how witchcraft empowers queers and trans people : it ain't that great anymore	Gays	Gays are evil
aint that america : how witchcraft empowers queers and trans people : it ain't that great anymore	LGBTQ people	LGBTQ people are wicked
" i am going to bring down america by funding black hate groups . we will put  "" them "" "" in a mental trap and make "" "" them "" "" blame white people . ... """	Blacks	Blacks are gullible
" i am going to bring down america by funding black hate groups . we will put  "" them "" "" in a mental trap and make "" "" them "" "" blame white people . ... """	black people	Black people are bringing down America.
the white holocaust of ukraine from russian jew communists .	Jews	Jews kill whites
the white holocaust of ukraine from russian jew communists .	Jews	Jews kill whites.
euro jews may be white  but tariq is still a puppet ...	Arabs	Arabs are easily manipulated
euro jews may be white  but tariq is still a puppet ...	Jews	Jews are white.
another day  yet another white sexual predator of children . why do and allow this to go ignored ? because they like all white men are nambla members !	White people	White people are pedophiles
another day  yet another white sexual predator of children . why do and allow this to go ignored ? because they like all white men are nambla members !	white men	white men are pedophiles
come to america because of prosterity = white america !	whites	White people are superior.
come to america because of prosterity = white america !	Minorities	Minorities are unskilled
the illegal immigration from mexico is another name 4 white genocide #stopwhitegenocide	Illegals	Illegals are annihilating the white race
the illegal immigration from mexico is another name 4 white genocide #stopwhitegenocide	Illegal immigrants	Illegal immigrants are making white people disappear.
" only cucks and leftists love the censorship of the  "" free market "" "" it is the only way they stay relevant . """	Liberals	Liberals want to censor others.
" only cucks and leftists love the censorship of the  "" free market "" "" it is the only way they stay relevant . """	Leftists	Leftists like to censor the market.
jewish harvard professor noel ignatiev wants to abolish the white race via #wr	Jews	Jews don't like white people.
jewish harvard professor noel ignatiev wants to abolish the white race via #wr	Jews	Jews hate white race
now that you mention it ... maybe a wall at the alabama border isn't such a bad idea .	Southerners	Southerners are worse than illegals
i don't trust the census . it's a well known fact all of the middle easterners check the white box . america was destined to be what it is	Middle Easterners	Middle Easterners want to be white.
i don't trust the census . it's a well known fact all of the middle easterners check the white box . america was destined to be what it is	Middle Easterners	Middle Easterners are dishonest
you know why . jews run the media and promote ' white guilt ' to paralyze white power . idea of bad black guy undermines the narrative .	Jews	Jews look to undermine the white race.
you know why . jews run the media and promote ' white guilt ' to paralyze white power . idea of bad black guy undermines the narrative .	Jews	Jews are in control of everything.
please kill urself hunter	Liberals	Liberals should kill themselves
" pretty much . the double standard is absolutely appalling . every single one of them always say  "" we should help everyone "" "" in theory  but this is only going one way . non-whites help their own and whites do not help our own . we're done with that . """	Minorities	Minorities are selfish.
" pretty much . the double standard is absolutely appalling . every single one of them always say  "" we should help everyone "" "" in theory  but this is only going one way . non-whites help their own and whites do not help our own . we're done with that . """	non-whites	Non-whites care about their people.
: video : white man march  white nationalist rallies organized across the globe for march by	Minorities	Minorities are the lower class races.
yes  and give it to the white deserving poor .	Minorities	Minorities steal from whites.
yes  and give it to the white deserving poor .	white people	White people are deserving.
white guilt	whites	whites have racism guilt
white guilt	Minorities	Minorities foster white shame
norway : town of 40 to get 550 refugees ! village not happy . in tibet they call this genocide	Immigrants	Immigrants are invaders
#whitegenocide is public policy in white countries  flood them  force integrate them  blend them into mixed race : see #kalergi plan #altright	Immigrants	Immigrants want to displace white people
#whitegenocide is public policy in white countries  flood them  force integrate them  blend them into mixed race : see #kalergi plan #altright	white people	White people should die.
" screaming  "" hate "" "" when people make basic factual statements about jews and their influence isn't effective """	white people	White people don't like Jews.
" screaming  "" hate "" "" when people make basic factual statements about jews and their influence isn't effective """	Jews	Jews are controlling
what happens when there are no more white people in europe ? try saying muticulti is good for any other race .	non-white people	non-white people are irresponsible
what happens when there are no more white people in europe ? try saying muticulti is good for any other race .	People of color	People of color want to take over Europe and get rid of white people
ws irony.ur really an idiot porkistop burning hindus christian alive in pakistan	Muslims	Muslims are violent
ws irony.ur really an idiot porkistop burning hindus christian alive in pakistan	Christians	Christians are stupid.
good video on internet activism and white character #whitegenocide #freespeech #northwestfront #deportallmuslims	Muslims	Muslims are invaders
good video on internet activism and white character #whitegenocide #freespeech #northwestfront #deportallmuslims	white people	White people hate Muslims.
for cucks sake ! #cuckservative #nrorevolt #goyible	Conservatives	Conservatives are cucks
for cucks sake ! #cuckservative #nrorevolt #goyible	Conservative males	Conservative males are impotent.
how british illuminati bankers ) helped create the kingdom of saudi arabia -	British bankers	British bankers are self-serving
we will need to appropriate at least 5 miles within mexican territory as a buffer zoneenforced by daily artillery fire	Mexicans	Mexicans are dangerous
we will need to appropriate at least 5 miles within mexican territory as a buffer zoneenforced by daily artillery fire	Mexicans	Mexicans are dangerous.
meanwhile there is a legimate case for invading and utterly wiping off the genetic map every non white on earth  but yeah russia	non-white people	non-white people are inferior
meanwhile there is a legimate case for invading and utterly wiping off the genetic map every non white on earth  but yeah russia	Minorities	Minorities are substandard races.
if that is so  it clearly shows the hate crime punishment is only for white men .	white people	White people are punished more harshly than other races.
if that is so  it clearly shows the hate crime punishment is only for white men .	Minorities	Minorities hold double standards
" rt supremacy requires diversity . white  "" supremacists "" "" are really separatists . wantnothing to do wnon-whites """	White people	White people think they're better than non whites
" rt supremacy requires diversity . white  "" supremacists "" "" are really separatists . wantnothing to do wnon-whites """	white people	White people don't like non-whites.
not to be racist but talk about black privilege ... if it were white people media would b	black people	Black people are priveledged.
not to be racist but talk about black privilege ... if it were white people media would b	Journalists	Journalists are hypocrites
a world without white people : a visual look at a mongrel future via .	white people	White people do a lot for the country.
a world without white people : a visual look at a mongrel future via .	Minorities	Minorities are animals
europe is in a state of silent  undeclared war against its own indigenous #whitepeople . wake up white people !	White people	White people are at war with other races
europe is in a state of silent  undeclared war against its own indigenous #whitepeople . wake up white people !	Non-white people	Non-white people are eliminating white people
a new flag for the white homeland in the northwest .	non-white people	non-white people are inferior
you're my favorite white supremacist	white people	White people think they are better than everyone else.
you're my favorite white supremacist	Minorities	Minorities are inferior
no amnesty ! ! many will be able to apply for government jobs in d future  putting our national security at risk !	Illegals	Illegals feed off the government
non-white hate crime mob violence comes to finland ( video ) via	non-white people	Non-white people are violent.
non-white hate crime mob violence comes to finland ( video ) via	Minorities	Minorities promote hatred and violence.
no  the white population will literally be replaced with a new people  l	Immigrants	Immigrants want to replace white people
no  the white population will literally be replaced with a new people  l	White people	White people are decreasing
great job white nationalism !	white people	White people are superior.
great job white nationalism !	People of color	People of color are inferior to white people
frightened aren't you  it won't be long before whitey is walking thru the slums  hoping and preying for a white victory	Minorities	Minorities are destructive
frightened aren't you  it won't be long before whitey is walking thru the slums  hoping and preying for a white victory	Whites	Whites want to dominate over minorities.
" ... that salacious malicious invasion by those racist animals is another reason for  "" racial divide "" "" that potus created ! """	Whites	Whites are racists
" white people have many cultures ! ! ! just visit europe  which you obviously have never done . there isn't a singular  "" white "" "" culture . """	whites	whites are all alike
" white people have many cultures ! ! ! just visit europe  which you obviously have never done . there isn't a singular  "" white "" "" culture . """	white people	White people are cultured.
preach ! no muslims  indians  or asians . america is only for the white ! #notracist #politicallyincorrect	white people	White people are the only race that belongs in America.
preach ! no muslims  indians  or asians . america is only for the white ! #notracist #politicallyincorrect	Minorities	Minorities are lower than whites
jason kessler getting attacked at his press conference today is further proof that there is no free speech for white people in america .	Minorities	Minorities oppress whites
jason kessler getting attacked at his press conference today is further proof that there is no free speech for white people in america .	white people	White people don't have freedom of speech.
this war on the white race needs to end .	white people	White people are at war.
this war on the white race needs to end .	Minorities	Minorities are aggressors against whites
" don't confuse honesty & realism with  "" cuck panic "" "" ; many of ur allies have fought long """	White people	white people are afraid of other races
notice how the babies are all white . hey it's not white people who have an issue with population control .	Minorities	Minorities have no urge control
notice how the babies are all white . hey it's not white people who have an issue with population control .	non-white people	non-white people breed too fast
" rt of course  jew-media to poison white brains : [ bad ]  "" neo-nazis "" "" "" "" skirmished "" "" w / "" "" well-organized "" "" "" "" counter "" "" - protesters """	Jews	Jews are cunning and scheming.
" rt of course  jew-media to poison white brains : [ bad ]  "" neo-nazis "" "" "" "" skirmished "" "" w / "" "" well-organized "" "" "" "" counter "" "" - protesters """	Jews	Jews don't like white people.
" more  "" white "" "" guilt - thanks jews ! #whiteprivilege #corruptmedia #trump #moors #ottomans #slavery """	Jews	Jews don't like white people.
" more  "" white "" "" guilt - thanks jews ! #whiteprivilege #corruptmedia #trump #moors #ottomans #slavery """	Jews	Jews use guilt against whites.
secular muslim women take evil shariah based muslim personal law to kafir indian	Muslims	Muslims are evil.
secular muslim women take evil shariah based muslim personal law to kafir indian	Muslims	Muslims impose their will on others
a boer fault is how they can trust white ppl . they can very easily trust other white who r non-boers .	white people	White people are more trusting.
a boer fault is how they can trust white ppl . they can very easily trust other white who r non-boers .	Minorities	Minorities are untrustworthy.
cernovich claims he's a jew---it sure shows . #lol .	Jews	Jews are inferior
white european jihad murderers are ok ?	Muslims	Muslims kill whites
white european jihad murderers are ok ?	Muslims	Muslims are murderers.
blacks begrudge white people	Blacks	Blacks are resentful of whites
blacks begrudge white people	black people	Black people are jealous of white people.
> be a jew > have an ethnostate > laugh at those who want their own	Jews	Jews are better than other people.
> be a jew > have an ethnostate > laugh at those who want their own	Jews	Jews look down on Palestinians
elin krantz : just another #dead white liberal #female #raped to #death by #non-white #invader via	non-white people	non-white people are rapists
elin krantz : just another #dead white liberal #female #raped to #death by #non-white #invader via	Non-white	Non-whites rape whites
slavery made barbados the most successful black country . colonialism made south africa the most successful in africa	Black people	Black people are unaccomplished
people are upset on the cow protection issue  pl . save your core support base  muslims do not vote for you	Muslims	Muslims are self-serving
people are upset on the cow protection issue  pl . save your core support base  muslims do not vote for you	Muslims	Muslims are violent
people are upset on the cow protection issue  pl . save your core support base  muslims do not vote for you	Muslims	Muslims are simple single-issue voters
steve king : obamas #immigration move would trigger constitutional crisis	Blacks	Blacks pander to immigrants
steve king : obamas #immigration move would trigger constitutional crisis	immigrants	Immigrants are hurting the country.
allowing more potential criminals to add to existing ones is racist ? did you misunderstand me or the meaning of racist ?	Black folks	Black folks are criminals
allowing more potential criminals to add to existing ones is racist ? did you misunderstand me or the meaning of racist ?	People of color	People of color are criminals
islamophobia the word is very divisive as it doesn't validate or even tolerate true fear people have of islamic incitement to terrorism .	Islamic people	Islamic people are terrorists.
islamophobia the word is very divisive as it doesn't validate or even tolerate true fear people have of islamic incitement to terrorism .	Muslims	Muslims are terrorists
real racist are black full of hypocrisy	Blacks	Blacks hold double standards for others.
real racist are black full of hypocrisy	black people	Black people are racist.
new black panther leader : kill white babies by bombing nurseries #wr	Black people	Black people are violent
new black panther leader : kill white babies by bombing nurseries #wr	black people	Black people want to kill white babies.
" uk :  "" this flat is for blacks only "" "" : shocking racist campaign to force white mum out of home via """	black people	Black people are bad for whites.
" uk :  "" this flat is for blacks only "" "" : shocking racist campaign to force white mum out of home via """	Blacks	Blacks want to destroy white lives
israel stopping african immigrants whilist jews open america and european borders	Jews	Jews want to force immigration on others.
israel stopping african immigrants whilist jews open america and european borders	African immigrants	Israel stops African immigrants
" if enjoying a white nation is  "" racist "" "" then i'm a proud "" "" racist "" "" ! """	Minorities	Minorities blame whites
" if enjoying a white nation is  "" racist "" "" then i'm a proud "" "" racist "" "" ! """	white people	White people are racist.
lmao ! ceo of adl ( ( ( jonathan greenblat ) ) ) says echo meme is an online version of burning a cross via	Progressives	Progressives are dishonest and devious.
i live in maxine waters district  she's always been one of the most racist politicians in america . to her hating white people isn't racist .	black people	Black people are racist.
. race is more than skin color . iq  voting  welfare  crime  aggression . open a biology book .	non-white people	non-white people are stupid
. race is more than skin color . iq  voting  welfare  crime  aggression . open a biology book .	Minorities	Minorities are hostile criminals.
where is the media outrage ? white man was lynched and robbed by a racist black gang ! ( video ) via	blacks	blacks are violent
where is the media outrage ? white man was lynched and robbed by a racist black gang ! ( video ) via	Black people	Black people are violent
#blacklivesmatter iand #antifa are the armed hands of the anti white  wealth redistribution & globalist elites	Black people	Black people want to take money from white people
#blacklivesmatter iand #antifa are the armed hands of the anti white  wealth redistribution & globalist elites	white people	White people are violent.
